Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.1.sl,SUCCESS,0.37,167
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.13.sl,SUCCESS,0.21,97
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_71_10.sl,SUCCESS,8.69,93
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_148_100.sl,SUCCESS,0.34,33
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_109_100.sl,SUCCESS,33.24,610
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.7.sl,SUCCESS,0.31,118
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.9.sl,SUCCESS,0.54,338
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.18.sl,SUCCESS,1.69,491
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_41_1000.sl,SUCCESS,0.92,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_10_10.sl,SUCCESS,0.12,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_72_10.sl,SUCCESS,0.20,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_54_100.sl,SUCCESS,0.21,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_3.15.sl,SUCCESS,0.04,20
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.11.sl,SUCCESS,0.57,111
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_51_1000.sl,SUCCESS,0.99,28
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_7.8.sl,SUCCESS,179.11,236
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_4.14.sl,SUCCESS,0.22,162
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.1.sl,SUCCESS,0.36,49
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_33_1000.sl,SUCCESS,0.66,8
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.19.sl,SUCCESS,0.81,25
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_13_1000.sl,SUCCESS,75.46,2364
